Position,Team,Logo URL,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Differential,Points
1,Kenya Police,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/Police.png?fit=128%2C128&ssl=1,21,11,8,2,26,10,16,41
2,Tusker,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/Tusker-FC.png?fit=109%2C128&ssl=1,21,11,6,4,31,22,9,39
3,Gor Mahia,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/Gor-Mahia.png?fit=125%2C128&ssl=1,20,10,5,5,29,15,14,35
4,AFC,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/AFC-Leopards.png?fit=115%2C128&ssl=1,20,9,6,5,29,20,9,33
5,KCB,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/KCB.png?fit=92%2C128&ssl=1,20,8,8,4,26,19,7,32
6,Bandari,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/Bandari.png?fit=92%2C128&ssl=1,21,8,8,5,20,19,1,32
7,Kakamega Homeboyz,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/Kakamega-Homeboyz-1.png?fit=128%2C128&ssl=1,21,7,9,5,22,18,4,30
8,Shabana,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/WhatsApp-Image-2023-09-14-at-13.09.14-1.jpeg?fit=100%2C100&ssl=1,21,7,8,6,19,18,1,29
9,Sofapaka,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/sofapaka.png?fit=126%2C128&ssl=1,21,7,7,7,21,17,4,28
10,Ulinzi Stars,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/Ulinzi-Stars.png?fit=115%2C128&ssl=1,21,6,9,6,17,20,-3,27
11,Mara Sugar,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/WhatsApp-Image-2023-09-14-at-13.09.12-2.jpeg?fit=100%2C100&ssl=1,21,7,4,10,24,23,1,25
12,Kariobangi Sharks,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/Kariobangi-Sharks.png?fit=128%2C105&ssl=1,21,4,11,6,17,18,-1,23
13,Muranga Seal,,21,6,5,10,15,24,-9,23
14,Mathare United,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/12/Mathare-United.png?fit=99%2C128&ssl=1,20,5,7,8,12,24,-12,22
15,FC Talanta,,21,5,6,10,22,29,-7,21
16,Posta Rangers,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/Posta-Rangers-Logo.png?fit=128%2C128&ssl=1,21,5,6,10,22,32,-10,21
17,Bidco United,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/Bidco-FC-Logo.png?fit=128%2C122&ssl=1,21,3,9,9,12,23,-11,18
18,Nairobi City Stars,https://i0.wp.com/footballkenya.org/wp-content/uploads/2022/11/Nairobi-City-Stars.png?fit=103%2C128&ssl=1,21,4,6,11,16,29,-13,18
